ts,frame,wheel,speed
1685324218051,1,0.03490658503988659,0
1685324218116,2,0.017453292519943295,0
1685324218178,3,0.03490658503988659,0
1685324218238,4,0.03490658503988659,0
1685324218298,5,0.03490658503988659,0
1685324218358,6,0.03490658503988659,0
1685324218420,7,0.03490658503988659,0
1685324218480,8,0.03490658503988659,6.25
1685324218530,9,0.017453292519943295,9.375
1685324218582,10,0.03490658503988659,10.0
1685324218635,11,0.03490658503988659,10.625
1685324218688,12,0.03490658503988659,26.875
1685324218740,13,0.03490658503988659,63.75
1685324218808,14,0.03490658503988659,87.5
1685324218864,15,0.03490658503988659,128.125
1685324218917,16,0.03490658503988659,159.375
1685324218972,17,0.03490658503988659,159.375
1685324219027,18,0.017453292519943295,159.375
1685324219081,19,0.03490658503988659,159.375
1685324219132,20,0.03490658503988659,159.375
1685324219182,21,0.03490658503988659,159.375
1685324219233,22,0.03490658503988659,159.375
1685324219284,23,0.03490658503988659,159.375
1685324219334,24,0.03490658503988659,159.375
1685324219385,25,0.017453292519943295,159.375
1685324219433,26,0.017453292519943295,159.375
1685324219484,27,0.017453292519943295,159.375
1685324219533,28,0.017453292519943295,159.375
1685324219582,29,0.017453292519943295,159.375
1685324219632,30,0.05235987755982988,159.375
1685324219683,31,0.05235987755982988,159.375
1685324219732,32,0.06981317007977318,159.375
1685324219784,33,0.06981317007977318,159.375
1685324219836,34,0.06981317007977318,159.375
1685324219888,35,0.06981317007977318,159.375
1685324219938,36,0.06981317007977318,159.375
1685324219988,37,0.06981317007977318,159.375
1685324220037,38,0.06981317007977318,159.375
1685324220088,39,0.06981317007977318,159.375
1685324220138,40,0.08726646259971647,159.375
1685324220193,41,0.10471975511965977,159.375
1685324220245,42,0.22689280275926285,159.375
1685324220298,43,0.2792526803190927,159.375
1685324220352,44,0.2792526803190927,159.375
1685324220401,45,0.2792526803190927,159.375
1685324220452,46,0.2792526803190927,159.375
1685324220502,47,0.2617993877991494,159.375
1685324220552,48,0.2617993877991494,159.375
1685324220602,49,0.24434609527920614,159.375
1685324220649,50,0.2617993877991494,159.375
1685324220700,51,0.2617993877991494,159.375
1685324220751,52,0.2617993877991494,159.375
1685324220800,53,0.2792526803190927,159.375
1685324220850,54,0.2792526803190927,159.375
1685324220901,55,0.3141592653589793,159.375
1685324220951,56,0.3316125578789226,159.375
1685324221000,57,0.3490658503988659,159.375
1685324221050,58,0.3839724354387525,159.375
1685324221101,59,0.3839724354387525,159.375
1685324221150,60,0.3839724354387525,159.375
1685324221199,61,0.3839724354387525,159.375
1685324221246,62,0.3839724354387525,159.375
1685324221295,63,0.3839724354387525,159.375
1685324221344,64,0.40142572795869574,159.375
1685324221393,65,0.40142572795869574,159.375
1685324221442,66,0.40142572795869574,159.375
1685324221492,67,0.41887902047863906,159.375
1685324221541,68,0.41887902047863906,159.375
1685324221590,69,0.41887902047863906,159.375
1685324221640,70,0.40142572795869574,159.375
1685324221688,71,0.3665191429188092,159.375
