ts,frame,wheel,speed
1685324115130,1,0.017453292519943295,0
1685324115194,2,0.017453292519943295,0
1685324115258,3,0.017453292519943295,0
1685324115319,4,0.017453292519943295,0
1685324115381,5,0.017453292519943295,0
1685324115442,6,0.017453292519943295,0
1685324115509,7,0.017453292519943295,0
1685324115570,8,0.017453292519943295,0
1685324115631,9,0.0,0
1685324115691,10,0.0,0
1685324115753,11,0.0,0
1685324115814,12,0.0,22.5
1685324115864,13,0.0,71.25
1685324115919,14,0.0,96.25
1685324115969,15,0.0,105.0
1685324116020,16,0.0,106.875
1685324116083,17,0.0,140.625
1685324116138,18,0.0,159.375
1685324116190,19,0.0,159.375
1685324116241,20,0.0,159.375
1685324116291,21,0.0,159.375
1685324116340,22,0.0,159.375
1685324116390,23,0.0,159.375
1685324116439,24,0.0,159.375
1685324116488,25,0.017453292519943295,159.375
1685324116534,26,0.06981317007977318,159.375
1685324116586,27,0.08726646259971647,159.375
1685324116636,28,0.08726646259971647,159.375
1685324116689,29,0.10471975511965977,159.375
1685324116739,30,0.12217304763960307,159.375
1685324116789,31,0.13962634015954636,159.375
1685324116839,32,0.24434609527920614,159.375
1685324116888,33,0.3665191429188092,159.375
1685324116938,34,0.3665191429188092,159.375
1685324116988,35,0.3490658503988659,159.375
1685324117037,36,0.3665191429188092,159.375
1685324117087,37,0.5061454830783556,159.375
1685324117135,38,0.5759586531581288,159.375
1685324117188,39,0.5235987755982988,159.375
1685324117238,40,0.5235987755982988,159.375
1685324117286,41,0.5235987755982988,159.375
1685324117334,42,0.5235987755982988,159.375
1685324117383,43,0.5235987755982988,159.375
1685324117432,44,0.5235987755982988,159.375
1685324117480,45,0.5410520681182421,159.375
1685324117529,46,0.5410520681182421,159.375
1685324117577,47,0.5410520681182421,159.375
1685324117625,48,0.5410520681182421,159.375
1685324117673,49,0.5410520681182421,159.375
1685324117719,50,0.5410520681182421,159.375
1685324117767,51,0.5410520681182421,159.375
1685324117815,52,0.5410520681182421,159.375
1685324117864,53,0.5410520681182421,159.375
1685324117912,54,0.5410520681182421,159.375
1685324117962,55,0.5410520681182421,159.375
1685324118011,56,0.5410520681182421,159.375
1685324118060,57,0.5410520681182421,159.375
1685324118108,58,0.5235987755982988,159.375
1685324118157,59,0.5235987755982988,159.375
1685324118204,60,0.5235987755982988,159.375
1685324118252,61,0.5235987755982988,159.375
1685324118302,62,0.5235987755982988,159.375
1685324118353,63,0.5235987755982988,159.375
1685324118402,64,0.5235987755982988,159.375
1685324118451,65,0.5061454830783556,159.375
1685324118502,66,0.4537856055185257,159.375
1685324118552,67,0.41887902047863906,159.375
1685324118604,68,0.3839724354387525,159.375
1685324118654,69,0.3839724354387525,159.375
1685324118704,70,0.3839724354387525,159.375
1685324118754,71,0.3665191429188092,159.375
1685324118805,72,0.3316125578789226,159.375
1685324118857,73,0.2792526803190927,159.375
1685324118909,74,0.2792526803190927,159.375
1685324118959,75,0.20943951023931953,159.375
1685324119009,76,0.17453292519943295,159.375
1685324119059,77,0.17453292519943295,159.375
1685324119109,78,0.17453292519943295,159.375
1685324119159,79,0.17453292519943295,159.375
1685324119208,80,0.17453292519943295,159.375
1685324119260,81,0.10471975511965977,159.375
1685324119311,82,0.06981317007977318,159.375
1685324119361,83,0.03490658503988659,159.375
1685324119411,84,0.0,159.375
1685324119461,85,-0.017453292519943295,159.375
1685324119509,86,-0.05235987755982988,159.375
1685324119558,87,-0.05235987755982988,159.375
1685324119608,88,-0.05235987755982988,159.375
1685324119658,89,-0.05235987755982988,159.375
1685324119707,90,-0.05235987755982988,159.375
1685324119757,91,-0.05235987755982988,159.375
1685324119807,92,-0.06981317007977318,159.375
1685324119858,93,-0.08726646259971647,159.375
1685324119908,94,-0.08726646259971647,159.375
1685324119960,95,-0.08726646259971647,159.375
1685324120011,96,-0.08726646259971647,159.375
1685324120063,97,-0.08726646259971647,159.375
1685324120111,98,-0.08726646259971647,159.375
1685324120162,99,-0.08726646259971647,159.375
1685324120213,100,-0.05235987755982988,159.375
1685324120263,101,-0.05235987755982988,159.375
1685324120313,102,-0.05235987755982988,159.375
1685324120363,103,-0.05235987755982988,159.375
1685324120412,104,-0.05235987755982988,159.375
1685324120463,105,-0.06981317007977318,159.375
1685324120513,106,-0.06981317007977318,159.375
1685324120564,107,-0.06981317007977318,159.375
1685324120614,108,-0.06981317007977318,159.375
1685324120664,109,-0.06981317007977318,159.375
1685324120714,110,-0.06981317007977318,159.375
1685324120764,111,-0.06981317007977318,159.375
1685324120814,112,-0.06981317007977318,159.375
1685324120865,113,-0.06981317007977318,159.375
1685324120916,114,-0.06981317007977318,159.375
